date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:26:58	114/114	---M-Z	200	added ('OK')	text/plain	date:Sat,%2021%20Oct%202023%2013:26:56%20GMT	https://thenanonetwork.com/robots.txt		(from )
18:27:00	32931/32931	---M-Z	200	added ('OK')	text/html	date:Sat,%2021%20Oct%202023%2013:26:57%20GMT	https://thenanonetwork.com/	C:/My%20Web%20Sites/pepebot/thenanonetwork.com/index.html	(from )
18:27:00	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sat,%2021%20Oct%202023%2013:26:58%20GMT	https://thenanonetwork.com/xmlrpc.php	C:/My%20Web%20Sites/pepebot/thenanonetwork.com/xmlrpc.php	(from https://thenanonetwork.com/)
18:27:02	2422/2422	---M--	200	added ('OK')	image/png	etag:%22c837e7-976-5ee40ba272b00%22	https://thenanonetwork.com/wp-content/themes/nano/images/favicon.png	C:/My%20Web%20Sites/pepebot/thenanonetwork.com/wp-content/themes/nano/images/favicon.png	(from https://thenanonetwork.com/)
18:27:03	2275/2275	---M-Z	200	added ('OK')	text/css	etag:%22ba12f0-8e3-5efd02e8d33dd-gzip%22	https://thenanonetwork.com/wp-content/cache/autoptimize/css/autoptimize_single_443a0083792b1ca61e8116184cb5901e.css	C:/My%20Web%20Sites/pepebot/thenanonetwork.com/wp-content/cache/autoptimize/css/autoptimize_single_443a0083792b1ca61e8116184cb5901e.css	(from https://thenanonetwork.com/)
18:27:04	866/866	---M-Z	200	added ('OK')	application/rss+xml	etag:%22753f1d7b1593c23840560eb1e606d38e-gzip%22	https://thenanonetwork.com/feed/	C:/My%20Web%20Sites/pepebot/thenanonetwork.com/feed/index.html	(from https://thenanonetwork.com/)
18:27:05	9880/9880	---M-Z	200	added ('OK')	text/css	etag:%22ba1293-2698-5ef15f77526fa-gzip%22	https://thenanonetwork.com/wp-content/cache/autoptimize/css/autoptimize_single_afa5cc6b90fd3c46004ff5511ae8b8eb.css	C:/My%20Web%20Sites/pepebot/thenanonetwork.com/wp-content/cache/autoptimize/css/autoptimize_single_afa5cc6b90fd3c46004ff5511ae8b8eb.css	(from https://thenanonetwork.com/)
18:27:06	760/760	---M-Z	200	added ('OK')	application/rss+xml	date:Wed,%2014%20Dec%202022%2021:11:33%20GMT	https://thenanonetwork.com/comments/feed/	C:/My%20Web%20Sites/pepebot/thenanonetwork.com/comments/feed/index.html	(from https://thenanonetwork.com/)
18:27:07	194901/194901	---M-Z	200	added ('OK')	text/css	etag:W/%222f955-d5HdHzFzoNYsw5wh0q1x/I2tDnI%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/css/bootstrap.min.css	C:/My%20Web%20Sites/pepebot/cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/css/bootstrap.min.css	(from https://thenanonetwork.com/)
18:27:07	26053/26053	---MCZ	200	added ('OK')	text/css	etag:%2265c5-BVfTdFS2f0LyyxAeV+UHD7EZNXA%22	https://unpkg.com/aos@2.3.1/dist/aos.css	C:/My%20Web%20Sites/pepebot/unpkg.com/aos@2.3.1/dist/aos.css	(from https://thenanonetwork.com/)
18:27:08	20095/20095	---M-Z	200	added ('OK')	application/javascript	etag:W/%224e7f-YDO5/9GsCmSrp3VxzVXmgduuK5k%22	https://cdn.jsdelivr.net/npm/@popperjs/core@2.11.6/dist/umd/popper.min.js	C:/My%20Web%20Sites/pepebot/cdn.jsdelivr.net/npm/@popperjs/core@2.11.6/dist/umd/popper.min.js	(from https://thenanonetwork.com/)
18:27:08	60404/60404	---M-Z	200	added ('OK')	application/javascript	etag:W/%22ebf4-hH3/iZtbz47kNOOJ4qkQuh26128%22	https://cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/js/bootstrap.min.js	C:/My%20Web%20Sites/pepebot/cdn.jsdelivr.net/npm/bootstrap@5.2.3/dist/js/bootstrap.min.js	(from https://thenanonetwork.com/)
18:27:09	11659/11659	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2021%20Oct%202023%2013:27:06%20GMT	https://kit.fontawesome.com/15eab69c4e.js	C:/My%20Web%20Sites/pepebot/kit.fontawesome.com/15eab69c4e.js	(from https://thenanonetwork.com/)
18:27:09	14239/14239	---MCZ	200	added ('OK')	application/javascript	etag:%22379f-cNv9OKDx/DsafZ+tq1h4ZITDTxc%22	https://unpkg.com/aos@2.3.1/dist/aos.js	C:/My%20Web%20Sites/pepebot/unpkg.com/aos@2.3.1/dist/aos.js	(from https://thenanonetwork.com/)
18:27:10	1399/1399	---MC-	200	added ('OK')	application/json	date:Sat,%2021%20Oct%202023%2013:27:07%20GMT	https://thenanonetwork.com/wp-json/wp/v2/pages/8	C:/My%20Web%20Sites/pepebot/thenanonetwork.com/wp-json/wp/v2/pages/8.json	(from https://thenanonetwork.com/)
18:27:10	822/822	---M-Z	200	added ('OK')	text/xml	date:Sat,%2021%20Oct%202023%2013:27:07%20GMT	https://thenanonetwork.com/xmlrpc.php?rsd	C:/My%20Web%20Sites/pepebot/thenanonetwork.com/xmlrpc0db0.php	(from https://thenanonetwork.com/)
18:27:10	2321/2321	---MC-	200	added ('OK')	application/json	date:Sat,%2021%20Oct%202023%2013:27:08%20GMT	https://thenanonetwork.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fthenanonetwork.com%2F	C:/My%20Web%20Sites/pepebot/thenanonetwork.com/wp-json/oembed/1.0/embedd6a7.json	(from https://thenanonetwork.com/)
18:27:11	2375/2375	---M-Z	200	added ('OK')	text/xml	date:Sat,%2021%20Oct%202023%2013:27:08%20GMT	https://thenanonetwork.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fthenanonetwork.com%2F&format=xml	C:/My%20Web%20Sites/pepebot/thenanonetwork.com/wp-json/oembed/1.0/embed4881	(from https://thenanonetwork.com/)
18:27:11	3925/3925	---M--	200	added ('OK')	image/png	etag:%22c837ea-f55-5ee53915c6100%22	https://thenanonetwork.com/wp-content/themes/nano/images/logo.png	C:/My%20Web%20Sites/pepebot/thenanonetwork.com/wp-content/themes/nano/images/logo.png	(from https://thenanonetwork.com/)
18:27:12	208177/208177	---MC-	200	added ('OK')	application/json	date:Sat,%2021%20Oct%202023%2013:27:07%20GMT	https://thenanonetwork.com/wp-json/	C:/My%20Web%20Sites/pepebot/thenanonetwork.com/wp-json/index.html	(from https://thenanonetwork.com/)
18:27:12	1519/1519	---M--	200	added ('OK')	image/png	etag:%22c837e3-5ef-5ee40b8d77980%22	https://thenanonetwork.com/wp-content/themes/nano/images/circle.png	C:/My%20Web%20Sites/pepebot/thenanonetwork.com/wp-content/themes/nano/images/circle.png	(from https://thenanonetwork.com/)
